ticker,conditional_result,earnings_count,hits,avg_loss_threshold_not_met,min_spike,avg_spike,median_spike
SAP,10.34,15,7,-1.33,0.2,3.7,2.66
SBCF,14.6,16,8,-1.17,0.25,2.86,2.41
SBUX,6.38,16,11,-5.32,0.25,5.56,4.62
SCCO,11.09,16,6,-0.69,0.17,2.42,2.16
SCHW,4.97,16,11,-5.61,0.16,5.04,5.2
SEIC,-3.35,16,5,-1.67,0.0,2.22,0.87
SF,16.4,15,9,-1.77,0.14,3.0,3.05
SFBS,-12.7,15,7,-4.21,0.08,4.96,2.6
SFNC,-32.92,16,2,-2.78,0.03,1.59,1.0
SHW,-2.98,15,8,-3.85,0.07,4.18,3.09
SIGI,-76.01,16,2,-5.86,0.0,1.61,0.78
SKYW,9.08,16,13,-9.97,0.92,8.81,8.2
SLB,-7.34,16,6,-2.53,0.24,3.81,2.88
SLG,-9.1,15,8,-4.73,0.42,3.48,3.36
SLM,-10.84,16,8,-4.36,1.29,4.31,3.09
SMFG,13.61,16,8,-1.3,0.16,3.16,3.02
SMG,-26.68,16,11,-11.94,0.74,6.34,4.4
SNDK,10.28,3,2,-4.17,4.22,8.69,8.23
SNDR,17.69,16,9,-1.33,0.04,5.26,3.33
SNY,-16.81,16,6,-3.48,0.04,2.34,1.63
SOFI,33.15,16,15,-11.85,2.51,14.64,13.12
SRCE,13.38,16,8,-1.33,0.0,3.27,2.63
SSB,23.45,16,9,-0.51,0.69,3.49,3.35
STBA,-4.11,16,4,-1.34,0.0,2.03,1.75
STLD,26.72,16,10,-0.55,0.51,5.63,6.24
STM,-46.34,15,8,-10.05,0.11,3.68,3.26
STX,-2.42,16,10,-5.4,0.73,7.56,5.36
SXI,10.09,16,6,-0.79,0.28,3.61,1.8
SYBT,28.91,16,9,0.27,0.08,3.58,3.11
SYF,18.67,16,10,-1.89,1.06,4.09,4.42
SYK,-0.64,16,6,-1.86,0.05,3.35,1.48
SYY,-13.82,16,3,-1.76,0.01,2.74,1.58
T,7.85,15,10,-4.43,0.32,4.78,4.77
TAK,-17.43,16,4,-2.45,0.07,1.9,1.65
TBBK,-17.29,16,10,-7.88,0.12,6.36,4.07
TCBI,-3.11,16,10,-5.52,0.03,3.66,3.77
TCBK,8.66,16,6,-0.93,0.14,2.54,1.98
TDY,-32.64,15,5,-4.76,0.0,2.72,1.99
TEL,12.24,15,10,-3.55,0.02,4.55,4.6
TEVA,9.6,16,13,-9.8,0.44,9.61,8.27
TFC,5.54,16,8,-2.31,0.2,3.12,3.0
TFIN,-41.39,12,4,-6.67,0.19,3.53,1.22
TFSL,20.55,16,8,-0.43,0.04,3.41,2.88
TMO,13.82,16,10,-2.7,0.45,4.44,4.28
TMP,5.17,16,4,-0.57,0.17,1.89,1.89
TOWN,-1.86,16,5,-1.53,0.02,2.26,1.85
TRMK,-7.95,16,7,-3.22,0.03,3.67,2.88
TRV,10.68,16,11,-4.46,0.42,4.62,4.28
TSCO,-10.81,16,7,-3.53,0.0,3.15,1.6
TSLA,-47.69,16,9,-10.67,0.43,6.46,3.17
TT,15.54,16,11,-3.49,0.28,4.89,4.87
TTEK,5.03,16,10,-4.16,0.9,6.16,4.32
TWO,-1.78,16,7,-2.53,0.07,3.92,2.76
TXN,-11.83,16,8,-4.48,0.07,3.19,3.05
TXT,-4.9,15,8,-4.13,0.21,4.02,3.06
UAL,18.32,16,13,-6.89,0.52,7.63,7.19
UBSI,3.54,16,5,-1.04,0.39,2.49,2.18
UMBF,-0.74,16,8,-3.09,0.19,3.65,2.9
UNH,-18.11,16,9,-6.44,0.25,3.56,3.22
UNP,-7.62,16,5,-2.06,0.17,3.49,1.98
UPS,-39.86,16,8,-7.98,0.2,5.14,2.88
URI,16.05,15,10,-2.79,0.12,5.54,5.65
USB,1.17,16,9,-3.69,0.1,3.7,4.27
V,14.99,16,8,-1.13,0.53,3.56,2.98
VFC,-32.42,16,9,-8.49,0.68,8.46,3.99
VIAV,-31.14,16,9,-8.31,0.07,8.27,4.29
VIRT,-0.45,16,10,-5.08,0.6,5.09,3.52
VLO,11.51,15,8,-1.78,0.35,3.53,3.11
VZ,-6.43,15,7,-3.43,0.27,3.81,2.91
WAL,17.1,16,13,-7.3,0.54,6.25,5.22
WBS,25.48,16,11,-1.5,0.08,4.37,3.52
WDC,18.19,16,11,-2.96,1.48,6.87,5.11
WHR,-19.13,15,10,-9.83,0.03,4.52,3.71
WM,9.11,16,8,-1.86,0.0,3.44,3.24
WRB,-6.58,16,7,-3.06,0.06,3.33,2.52
WSBC,-6.93,16,5,-1.99,0.04,2.37,1.73
WSFS,-2.54,16,7,-2.62,0.21,3.15,2.6
WT,8.14,13,8,-3.17,0.15,4.76,3.92
WTFC,12.32,16,6,-0.57,0.4,3.15,2.92
WY,4.96,16,4,-0.59,0.0,2.17,2.03
XOM,-4.11,16,3,-1.01,0.28,2.37,2.39
ZION,9.61,16,10,-3.4,0.45,4.5,3.82
