ticker,conditional_result,earnings_count,hits,avg_loss_threshold_not_met,min_spike,avg_spike,median_spike
RDDT,11.77,7,6,-6.23,0.86,19.89,17.66
RDN,2.7,16,5,-1.12,0.07,2.35,2.18
REG,12.33,16,8,-1.46,0.01,2.75,2.99
REXR,-8.47,16,5,-2.13,0.03,2.22,1.98
REYN,-2.54,16,8,-3.32,0.12,4.16,3.65
RGA,-13.47,16,8,-4.68,0.03,4.98,3.01
RL,38.3,16,14,-1.85,2.93,8.01,6.53
RMBS,-26.54,16,11,-11.91,0.01,5.95,4.84
RNR,-9.36,16,7,-3.37,0.05,3.99,2.68
ROAD,1.05,16,11,-6.39,0.75,7.21,6.58
ROIV,27.12,16,12,-2.22,0.52,5.3,5.04
ROK,-38.98,16,7,-6.66,0.07,5.03,2.21
RPRX,12.46,16,10,-2.92,0.42,3.25,3.29
RRR,-12.2,16,10,-7.03,0.0,4.03,4.33
RRX,-14.52,16,8,-4.82,0.12,4.42,2.67
RVTY,-7.84,10,6,-6.46,0.19,4.37,4.1
RXO,-40.13,12,7,-12.23,0.13,4.26,3.83
RYN,3.51,16,9,-3.36,0.0,4.87,3.32
SAFE,-3.64,16,9,-4.38,0.18,4.12,3.86
SAIA,-43.72,16,12,-19.93,0.56,7.66,5.46
SAN,-14.9,16,5,-2.72,0.34,2.96,1.67
SBH,13.27,16,12,-5.68,1.86,11.01,11.23
SHEL,25.92,16,8,0.24,0.38,2.96,2.81
SHG,8.98,11,5,-1.0,0.02,2.94,2.38
SIMO,20.94,16,12,-3.76,0.14,8.08,5.66
SIRI,7.77,16,11,-5.05,0.53,5.1,4.73
SITM,-69.84,16,10,-16.64,0.18,11.08,9.61
SKM,-4.99,15,0,-0.33,0.03,0.98,0.67
SKY,-27.83,16,10,-9.64,0.19,6.62,3.98
SLAB,-2.01,16,11,-7.0,0.27,6.7,6.42
SLGN,-32.54,16,9,-8.51,0.02,3.58,3.65
SMCI,-9.38,16,13,-16.13,0.41,13.28,12.13
SNA,-8.24,16,9,-5.03,0.06,3.76,3.38
SNEX,-6.26,16,12,-10.57,0.17,6.56,7.11
SONO,-20.71,16,12,-14.18,0.51,12.0,12.78
SONY,14.76,16,12,-5.31,0.76,5.82,6.29
SPB,19.26,16,10,-1.79,0.38,6.32,5.34
SPG,4.35,16,9,-3.24,0.05,3.17,4.36
SPGI,7.55,16,9,-2.78,0.26,3.75,4.14
SPH,-34.31,16,1,-2.49,0.0,1.65,1.53
SPOT,-8.75,16,11,-8.35,0.78,8.47,9.04
SR,3.11,16,4,-0.74,0.03,2.16,1.54
SSD,14.14,16,11,-3.77,0.02,5.73,5.61
SSNC,-10.34,16,9,-5.33,0.01,3.15,3.81
ST,-42.16,16,5,-5.2,0.03,4.99,1.19
STAA,-85.92,16,7,-11.88,0.19,5.59,1.93
STC,-10.12,16,8,-4.27,0.31,3.91,3.0
STE,-5.84,16,10,-5.97,0.04,5.06,4.45
STEP,16.45,16,11,-3.31,0.0,6.46,5.77
SU,2.92,16,5,-1.1,0.33,2.93,1.85
SWK,-47.96,16,5,-5.72,0.0,2.89,1.62
SWKS,-33.68,16,8,-7.21,0.0,4.36,2.92
SYM,-39.1,11,8,-21.03,0.27,17.93,11.67
SYNA,-14.94,16,9,-5.99,0.2,4.93,3.49
TDC,-22.91,16,12,-14.73,0.58,8.68,5.0
TDG,-8.03,16,7,-3.23,0.23,3.52,2.42
TEAM,-51.4,16,10,-13.57,0.13,9.61,7.15
TECH,3.55,16,11,-5.89,0.0,6.51,6.54
TENB,-42.23,16,10,-12.04,0.07,5.85,4.25
TER,-23.26,16,10,-8.88,0.26,6.57,4.36
TEX,-10.72,16,10,-6.79,0.08,4.67,4.25
THG,11.01,16,7,-1.11,0.0,3.02,2.92
THR,-14.92,16,10,-7.49,0.0,4.49,3.4
TIMB,14.03,16,4,0.17,0.5,2.68,2.58
TKR,-21.09,16,7,-4.68,0.15,2.84,1.47
TM,-8.51,16,3,-1.35,0.11,2.32,1.94
TPG,2.95,16,10,-4.51,0.47,4.27,4.6
TPR,12.14,16,12,-5.97,0.24,7.87,6.97
TRI,4.62,16,7,-1.82,0.07,3.03,2.88
TRNO,8.47,16,5,-0.59,0.18,2.32,2.05
TROW,-7.0,16,6,-2.5,0.57,3.14,2.23
TSEM,35.56,16,12,-0.11,0.21,8.25,6.48
TSN,-15.85,16,10,-7.64,0.84,4.92,4.75
TTMI,-2.53,16,11,-7.11,0.17,8.9,6.21
TTWO,11.65,16,13,-9.12,0.02,7.14,6.51
TW,4.45,16,8,-2.44,0.09,3.04,2.56
TWST,22.72,16,12,-3.32,0.99,11.14,7.27
UBER,18.68,16,13,-6.77,0.85,7.47,4.37
UBS,11.72,16,10,-3.05,0.3,5.61,5.66
UDR,2.28,16,6,-1.57,0.08,1.92,1.69
UGI,-9.84,16,9,-5.26,0.06,4.47,4.21
UHAL,-126.58,16,1,-8.64,0.0,1.49,1.55
UNM,5.87,16,11,-5.43,0.35,5.38,3.63
UPST,-141.02,16,9,-24.0,0.11,18.39,5.54
USLM,-14.48,13,5,-3.68,0.0,2.36,1.27
UTI,-18.97,16,11,-10.39,0.42,8.75,9.67
UVV,-15.94,16,6,-3.39,0.27,4.03,1.66
VCTR,19.29,16,11,-2.74,0.13,4.82,4.99
